basetime,prediction_horizon,sampling_mode,ddim_steps,random_seed,device_name,inference_seconds,peak_allocated_memory_gib,peak_reserved_memory_gib,output_shape,output_minimum,output_maximum,output_mean,output_standard_deviation,nan_count,inf_count
202504131100,1hr,DDIM,100,42,K500SM_AI,20.572963502258062,0.8756375312805176,0.98828125,"[1, 6, 512, 512]",0.0,958.1715698242188,523.9066162109375,104.86029815673828,0,0
202504161200,1hr,DDIM,100,42,K500SM_AI,19.934434700757265,0.8756375312805176,0.98828125,"[1, 6, 512, 512]",0.0,970.6121215820312,576.7486572265625,126.54132843017578,0,0
202507151200,1hr,DDIM,100,42,K500SM_AI,20.059176359325647,0.8756375312805176,0.98828125,"[1, 6, 512, 512]",0.0,965.9641723632812,566.6810913085938,123.784912109375,0,0
